file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,51,css,11db8e66,RitvikMohindru,2025-01-18,18:07:13,-08:00,2025-01-18T18:07:13-08:00,0,19
style.css,52,css,bbd1baf0,RitvikMohindru,2025-01-18,18:24:34,-08:00,2025-01-18T18:24:34-08:00,0,0
style.css,53,css,bbd1baf0,RitvikMohindru,2025-01-18,18:24:34,-08:00,2025-01-18T18:24:34-08:00,0,0
style.css,54,css,511a9a32,RitvikMohindru,2025-01-18,18:30:02,-08:00,2025-01-18T18:30:02-08:00,0,27
style.css,55,css,bbd1baf0,RitvikMohindru,2025-01-18,18:24:34,-08:00,2025-01-18T18:24:34-08:00,0,14
style.css,56,css,bbd1baf0,RitvikMohindru,2025-01-18,18:24:34,-08:00,2025-01-18T18:24:34-08:00,0,11
style.css,57,css,bbd1baf0,RitvikMohindru,2025-01-18,18:24:34,-08:00,2025-01-18T18:24:34-08:00,0,14
style.css,58,css,bbd1baf0,RitvikMohindru,2025-01-18,18:24:34,-08:00,2025-01-18T18:24:34-08:00,0,22
style.css,59,css,bbd1baf0,RitvikMohindru,2025-01-18,18:24:34,-08:00,2025-01-18T18:24:34-08:00,0,18
style.css,60,css,a00dca6a,RitvikMohindru,2025-01-18,18:30:54,-08:00,2025-01-18T18:30:54-08:00,0,3
style.css,61,css,a00dca6a,RitvikMohindru,2025-01-18,18:30:54,-08:00,2025-01-18T18:30:54-08:00,0,0
style.css,62,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,13
style.css,63,css,a00dca6a,RitvikMohindru,2025-01-18,18:30:54,-08:00,2025-01-18T18:30:54-08:00,0,13
style.css,64,css,1c82d3a5,RitvikMohindru,2025-01-18,18:58:03,-08:00,2025-01-18T18:58:03-08:00,0,31
style.css,65,css,1c82d3a5,RitvikMohindru,2025-01-18,18:58:03,-08:00,2025-01-18T18:58:03-08:00,0,8
style.css,66,css,ef6f55a0,RitvikMohindru,2025-01-18,18:49:55,-08:00,2025-01-18T18:49:55-08:00,0,0
style.css,67,css,ef6f55a0,RitvikMohindru,2025-01-18,18:49:55,-08:00,2025-01-18T18:49:55-08:00,0,0
style.css,68,css,1c82d3a5,RitvikMohindru,2025-01-18,18:58:03,-08:00,2025-01-18T18:58:03-08:00,0,6
style.css,69,css,ef6f55a0,RitvikMohindru,2025-01-18,18:49:55,-08:00,2025-01-18T18:49:55-08:00,0,13
style.css,70,css,ef6f55a0,RitvikMohindru,2025-01-18,18:49:55,-08:00,2025-01-18T18:49:55-08:00,0,30
style.css,71,css,ef6f55a0,RitvikMohindru,2025-01-18,18:49:55,-08:00,2025-01-18T18:49:55-08:00,0,19
style.css,72,css,d715dd70,RitvikMohindru,2025-01-18,19:02:43,-08:00,2025-01-18T19:02:43-08:00,0,0
style.css,73,css,d715dd70,RitvikMohindru,2025-01-18,19:02:43,-08:00,2025-01-18T19:02:43-08:00,0,0
style.css,74,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,14
style.css,75,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,18
style.css,76,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,9
style.css,77,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,11
style.css,78,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,20
style.css,79,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,14
style.css,80,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,0
style.css,81,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,0
style.css,82,css,2af0b59b,RitvikMohindru,2025-01-24,14:10:20,-08:00,2025-01-24T14:10:20-08:00,0,15
style.css,83,css,d715dd70,RitvikMohindru,2025-01-18,19:02:43,-08:00,2025-01-18T19:02:43-08:00,0,19
style.css,84,css,6c653bc3,RitvikMohindru,2025-01-18,19:14:34,-08:00,2025-01-18T19:14:34-08:00,0,0
style.css,85,css,1a6a7d94,RitvikMohindru,2025-01-18,20:00:08,-08:00,2025-01-18T20:00:08-08:00,0,0
style.css,86,css,1a6a7d94,RitvikMohindru,2025-01-18,20:00:08,-08:00,2025-01-18T20:00:08-08:00,0,10
style.css,87,css,1a6a7d94,RitvikMohindru,2025-01-18,20:00:08,-08:00,2025-01-18T20:00:08-08:00,0,13
style.css,88,css,1a6a7d94,RitvikMohindru,2025-01-18,20:00:08,-08:00,2025-01-18T20:00:08-08:00,0,59
style.css,89,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,0
style.css,90,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,0
style.css,91,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,18
style.css,92,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,27
style.css,93,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,16
style.css,94,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,8
style.css,95,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,0
style.css,96,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,0
style.css,97,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,21
style.css,98,css,a49d1e75,RitvikMohindru,2025-01-18,20:06:59,-08:00,2025-01-18T20:06:59-08:00,0,9
style.css,99,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,100,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,101,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,23
style.css,102,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,16
style.css,103,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,18
style.css,104,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,105,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,106,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,3
style.css,107,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,15
style.css,108,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,109,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,110,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,3
style.css,111,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,15
style.css,112,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,113,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,114,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,3
style.css,115,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,15
style.css,116,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,117,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,118,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,3
style.css,119,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,15
style.css,120,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,121,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,122,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,3
style.css,123,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,15
style.css,124,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,125,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,0
style.css,126,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,3
style.css,127,css,726adb23,RitvikMohindru,2025-01-18,20:16:26,-08:00,2025-01-18T20:16:26-08:00,0,15
style.css,128,css,25d2ddac,RitvikMohindru,2025-01-18,22:25:35,-08:00,2025-01-18T22:25:35-08:00,0,0
style.css,129,css,25d2ddac,RitvikMohindru,2025-01-18,22:25:35,-08:00,2025-01-18T22:25:35-08:00,0,0
style.css,130,css,25d2ddac,RitvikMohindru,2025-01-18,22:25:35,-08:00,2025-01-18T22:25:35-08:00,0,11
style.css,131,css,25d2ddac,RitvikMohindru,2025-01-18,22:25:35,-08:00,2025-01-18T22:25:35-08:00,0,26
style.css,132,css,25d2ddac,RitvikMohindru,2025-01-18,22:25:35,-08:00,2025-01-18T22:25:35-08:00,0,26
style.css,133,css,3371aafc,RitvikMohindru,2025-01-18,23:24:04,-08:00,2025-01-18T23:24:04-08:00,0,39
style.css,134,css,83f6d945,RitvikMohindru,2025-01-18,23:02:14,-08:00,2025-01-18T23:02:14-08:00,0,19
style.css,135,css,48da83cf,RitvikMohindru,2025-01-18,23:10:38,-08:00,2025-01-18T23:10:38-08:00,0,0
style.css,136,css,48da83cf,RitvikMohindru,2025-01-18,23:10:38,-08:00,2025-01-18T23:10:38-08:00,0,0
style.css,137,css,48da83cf,RitvikMohindru,2025-01-18,23:10:38,-08:00,2025-01-18T23:10:38-08:00,0,9
style.css,138,css,48da83cf,RitvikMohindru,2025-01-18,23:10:38,-08:00,2025-01-18T23:10:38-08:00,0,13
style.css,139,css,48da83cf,RitvikMohindru,2025-01-18,23:10:38,-08:00,2025-01-18T23:10:38-08:00,0,0
style.css,140,css,48da83cf,RitvikMohindru,2025-01-18,23:10:38,-08:00,2025-01-18T23:10:38-08:00,0,0
style.css,141,css,48da83cf,RitvikMohindru,2025-01-18,23:10:38,-08:00,2025-01-18T23:10:38-08:00,0,16
style.css,142,css,48da83cf,RitvikMohindru,2025-01-18,23:10:38,-08:00,2025-01-18T23:10:38-08:00,0,27
